Traditional Product,Sustainable Alternative,Material,Brand,Eco-Certifications,Description,Current Price,Rating,img_url,Old Price,Is Discounted
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",6825.92,4.8,https://via.placeholder.com/150,8687.33,True
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",4180.71,3.4,https://via.placeholder.com/150,5259.4,True
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",1816.87,2.2,https://via.placeholder.com/150,2276.57,True
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",3022.86,1.5,https://via.placeholder.com/150,2721.44,False
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",5709.57,1.6,https://via.placeholder.com/150,7234.96,True
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",3943.33,3.8,https://via.placeholder.com/150,4654.62,True
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",6077.26,4.8,https://via.placeholder.com/150,7531.44,True
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",8204.55,3.3,https://via.placeholder.com/150,9949.8,True
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",2989.66,4.9,https://via.placeholder.com/150,3625.28,True
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",2540.63,1.0,https://via.placeholder.com/150,2942.6,True
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",3598.05,4.8,https://via.placeholder.com/150,4669.21,True
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",4268.69,2.2,https://via.placeholder.com/150,4228.04,False
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",6376.89,4.3,https://via.placeholder.com/150,8123.03,True
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",2426.92,3.5,https://via.placeholder.com/150,2783.1,True
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5404.13,4.1,https://via.placeholder.com/150,4968.15,False
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",4331.77,4.2,https://via.placeholder.com/150,5366.92,True
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",2331.47,3.9,https://via.placeholder.com/150,2260.89,False
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",5943.63,4.1,https://via.placeholder.com/150,6896.73,True
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4071.15,1.6,https://via.placeholder.com/150,4848.54,True
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",8036.89,1.1,https://via.placeholder.com/150,10070.36,True
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",2990.49,3.5,https://via.placeholder.com/150,3566.89,True
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",1767.9,3.9,https://via.placeholder.com/150,2241.54,True
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",558.59,3.3,https://via.placeholder.com/150,522.73,False
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",7831.05,3.7,https://via.placeholder.com/150,8959.56,True
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",6395.98,3.2,https://via.placeholder.com/150,7910.41,True
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",1401.04,3.1,https://via.placeholder.com/150,1611.69,True
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",7198.59,4.0,https://via.placeholder.com/150,9101.35,True
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3951.63,4.8,https://via.placeholder.com/150,3877.3,False
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",5544.4,3.0,https://via.placeholder.com/150,6962.48,True
